symptoms,sentences
['fever'],What is the body temperature?
['diarrhea'],"Hmm, it may be angry. Treat the diarrhea slowly first. Condition slowly."
"['nausea', 'Hiccup', 'Reflux']","Are there any nausea, acid reflux and hiccups?"
['Bowel'],"Well, in your case, you need to consider the bowel sounds produced by too fast gastrointestinal peristalsis."
['Perianal pain'],Do you have anal pain?
"['diarrhea', 'stomach ache', 'Bloating']","Do you like spicy and greasy food? Do you have diarrhea, bloating, and abdominal pain?"
['hemorrhoid'],"According to your description and analysis, you need to pay attention to whether there is bleeding caused by hemorrhoids."
['hemorrhoid'],"According to your description and analysis, consider the hemorrhoids caused by hemorrhage is relatively large."
['diarrhea'],"Hello, how long does this happen? Diarrhea?"
['stomach ache'],Do you have abdominal pain at the moment?
['diarrhea'],Diarrhea?
['Loose stool'],"Drink less, alcohol stimulates the gastrointestinal mucosa. Are your stools loose?"
['Bloating'],"Yes, if the flatulence is severe, add cisapride."
['exhaust'],Fart? An enlarged uterus during pregnancy will compress the rectum and cause poor bowel movements.
['hemorrhoid'],"This is bleeding from hemorrhoids, you can use hemorrhoid suppositories."
['Helicobacter infection'],"Recently, I went to the Gastroenterology Department for a gastroscopy. Has Helicobacter pylori been tested?"
['Helicobacter infection'],You can do a carbon breath test first to find out if Helicobacter pylori is infected.
['Helicobacter infection'],"The quadruple therapy I recommend to you is OK. If the Helicobacter pylori test is negative, anti-inflammatory drugs and antibiotics can be taken without taking it."
['stomachache'],"Ok girl. At present, pantoprazole capsules and pectin bismuth capsules can be taken orally for symptomatic treatment. Do you have stomach pain at the moment?"
['stomachache'],"You can take compound vitamin U belladonna tablets orally to relieve gastrointestinal colic, drink plenty of hot water, and keep warm girl."
['diarrhea'],Is it still diarrhea? Pull watery stool?
"['fever', 'stomach ache']",Press the abdomen with your hands. Is there any obvious pain? Fever?
['diarrhea'],"Montmorillonite powder can be used in two packs at a time, three times a day. If the diarrhea is relieved, change to one pack at a time, twice a day. Stop eating when the diarrhea stops."
['Gastrointestinal discomfort'],"You must have poor gastrointestinal function, so don't drink alcohol in the future."
['fever'],"You don't have a fever or anything, there is no need to take norfloxacin. Eating too much irritates the stomach."
['hemorrhoid'],Hemorrhoids or acne?
"['hemorrhoid', 'Blood in stool']",Hemorrhoids may have blood in the stool.
"['Hiccup', 'Reflux']",Are there any symptoms of acid reflux hiccups?
"['nausea', 'Vomit']","If you want to vomit, try to vomit."
['Fatigue'],"Because there is no clear diagnosis, we can't order you what medicine to use online. Even if we are too old, we are afraid to take responsibility. We have seen it in person and know it in our hearts. Depending on your mouth, no one has the ability to diagnose."
['stomachache'],How long has the stomach hurt? Are there any other discomforts?
"['diarrhea', 'nausea', 'Vomit']",Do you have nausea and vomiting? Diarrhea?
"['stomach ache', 'stomachache']",Which part of the abdomen is the stomachache you said?
['Helicobacter infection'],What method is used for Helicobacter pylori examination?
['Helicobacter infection'],How long have you eaten? This is to eradicate Helicobacter pylori.
['nausea'],Problems in these two places can cause nausea. What's your stool?
['nausea'],"Hmm, nothing. If you still feel sick after stopping, go to the hospital to check."
['Loose stool'],"Um, is it watery?"
['Bloating'],Starshu can give it a try. There is no need for stomach bloating.
"['diarrhea', 'stomachache']","In addition to stomach pain, diarrhea has other discomforts? ?"
['diarrhea'],"In response to this consultation, the doctor updated a summary suggestion: If you have more diarrhea, use montmorillonite powder, or suggest going to the hospital for infusion treatment to prevent water and electrolyte loss."
['Cramps'],"Well, there are manifestations of gastroenteritis, cramping pain."
"['Reflux', 'Heartburn', 'Heart palpitations']","Is it acid reflux, heartburn or palpitation."
['Heart palpitations'],Are you flustered?
"['Bloating', 'Hiccup', 'Reflux']",Do hiccups regurgitate acid water? Is it bloating?
"['Hiccup', 'Cramps']","If the hiccup is due to diaphragmatic spasm, you can take metoclopramide, or 6542, if not, consider acupuncture."
['fever'],"Is there any discomfort such as fever, pain, swelling, or bulging at the surgical site?"
"['diarrhea', 'Loose stool']","Sorry, I was busy just now. How many times do you have diarrhea every day? Is it watery or mushy?"
['diarrhea'],Huoxiang Zhengqi has a general effect on diarrhea.
['diarrhea'],"Can eat together. If the enteritis is not controlled, diarrhea will continue."
"['diarrhea', 'stomach ache']",It is caused by diarrhea and stomach ache.
['diarrhea'],Drink plenty of water and light salt water to replenish the body's water lost by diarrhea.
"['nausea', 'Vomit']",Do you still feel sick and want to vomit?
['Vomit'],"Hello, is there any vomiting?"
['fever'],Have a fever?
['Restless'],Does not affect taking anti-anxiety medicine.
['Sputum'],"Take comfort, there is no other way. Help him absorb sputum if necessary."
['Perianal pain'],Do you have anal pain?
['hemorrhoid'],You are initially considering hemorrhoids. Have you eaten spicy food or drink alcohol recently?
['Loose stool'],Keep stool soft and avoid dryness.
['hemorrhoid'],"Well, when the amount of bleeding is heavy, you can use some topical such as Mayinglong hemorrhoid ointment. Don't sit for a long time."
"['Blood in stool', 'Cramps']",It may be intestinal cramps. There is no pus or blood in the stool.
['diarrhea'],"It has something to do with diet. If you have more diarrhea, take Smecta by mouth. And berberine."
"['diarrhea', 'diarrhea']","Eat something for diarrhea. No diarrhea, no need to eat Smecta."
['Blood in stool'],"If the wound is large, you should be given a titanium clip. Generally, you can take it if there is no blood in the stool for 24 hours."
"['fever', 'Loose stool']","Hello, do you have loose water? How many times have you been in line? Hello, do you have a fever?"
['Vomit'],"If you have severe vomiting, you can go to the clinic or hospital to get dextrose and saline. Rehydration therapy."
['stomach ache'],"Well, do you have to go to the toilet whenever you feel abdominal pain?"
['allergy'],"Oh, anti-inflammatory, anti-allergic, and antipyretic. This anti-inflammatory medicine can be taken three times a day, the anti-allergic medicine is only used at night, and the anti-fever medicine is for temporary use."
['fever'],"If the body temperature is above 38 degrees 5, you can eat it."
"['fever', 'Anorexia']",This one does not need to take anti-fever medicine. Fever itself is also sterilizing.
['fever'],"No need to eat. Fever is caused by the fight between white blood cells and bacteria. If you lower its temperature, there will be no sterilization effect."
['fever'],Normal body temperature is 37 degrees 2 or less.
['Anorexia'],"Adding 0.5 is also 38 degrees, and there is no need to take anti-fever medicine."
"['stomach ache', 'Bloating']",The belly button is still painful under the belly button.
['Tensile and heavy'],This condition is medically called tenesmus.
"['stomach ache', 'Bloating']","Abdominal pain, bloating isn't it?"
['cough'],Whether there is cough.
['hard to swallow'],Difficulty in swallowing food.
['Reflux'],What to judge? Reflux esophagitis? It can only be said that it is possible.
['Chest pain'],"There are many reasons for chest pain, esophagus, lungs, heart, mediastinum..."
['Reflux'],Take reflux esophagitis first.
['hard to swallow'],hard to swallow? The gastroscope should be done immediately.
['Gastrointestinal discomfort'],Consider the function of the gastrointestinal tract is not very good. Don't eat supper. Is menstruation normal?
"['stomach ache', 'Gastrointestinal discomfort', 'Helicobacter infection']","There is a standard quadruple plan to eradicate Helicobacter pylori. The drugs you mentioned are not standard anti- Helicobacter pylori drugs, but they are now negative, so you don’t need to worry about it. Stomach discomfort can be considered whether it is related to eating. If it is not related, abdominal pain may be related to gastric acid irritation to the gastric mucosa. Rabeprazole can be taken orally, which is a drug that inhibits gastric acid and protects the gastric mucosa."
['Gastrointestinal disorders'],"Don't be afraid of gastrointestinal disorders, just take medicine."
['Anorexia'],Do you not want to eat or do you feel uncomfortable after eating?
['stomach ache'],How long has the pain in the left lower abdomen been? Is the stool normal?
